Unnamed: 0,book_id,book_name,author_name,num_tokens
304,28657,"A Winter Amid the Ice, and Other Thrilling Stories",Jules Verne,98834
305,2885,The House of the Wolfings,William Morris,119416
306,8170,"Gargantua and Pantagruel, Illustrated, Book 5",François Rabelais,74211
307,1906,"Erewhon; Or, Over the Range",Samuel Butler,111349
308,71273,The Gnome King of Oz,Ruth Plumly Thompson,59403
309,34339,The Princess and the Goblin,George MacDonald,73403
310,1966,The Path of the King,John Buchan,119022
311,2667,The Vicar of Wakefield,Oliver Goldsmith,89962
312,51,Anne of the Island,L. M. Montgomery,111337
313,2799,Eben Holden: A Tale of the North Country,Irving Bacheller,123510
314,5092,The Coming of Cuculain,Standish O'Grady,56523
315,1703,Dead Men Tell No Tales,E. W. Hornung,78544
316,37332,A Little Princess: Being the whole story of Sara Crewe now told for the first…,unknown,95775
317,26534,"The Girl from Sunset Ranch; Or, Alone in a Great City",Amy Bell Marlowe,95428
318,2874,Personal Recollections of Joan of Arc — Volume 1,Mark Twain,108991
319,32336,Maid Sally,Harriet A. Cheever,64234
320,14249,Half A Chance,Frederic Stewart Isham,93729
321,25439,Looking Backward: 2000-1887,Edward Bellamy,110907
322,41847,"Baseball Joe in the Central League; or, Making Good as a Professional Pitcher",unknown,74338
323,21510,Legacy,James H. Schmitz,111927
324,74644,A land-girl's love story,Berta Ruck,119499
325,3733,"Bel Ami; Or, The History of a Scoundrel: A Novel",Guy de Maupassant,76447
326,20606,The Magic City,E. Nesbit,86193
327,19055,Steve Yeager,William MacLeod Raine,84885
328,32620,The Three Mulla-mulgars,Walter De la Mare,106826
329,25780,The Fire People,Ray Cummings,92751
330,2726,Eight Cousins,Louisa May Alcott,100306
331,45382,"The Blue and the Gray; Or, The Civil War as Seen by a Boy",Annie Randall White,122482
332,35447,Comrades: A Story of Social Adventure in California,Jr. Thomas Dixon,88154
333,310,Before Adam,Jack London,55641
334,74269,"Arsène Lupin, super-sleuth",Maurice Leblanc,100742
335,111,Freckles,Gene Stratton-Porter,113296
336,20730,For the Sake of the School,Angela Brazil,88050
337,15454,Imperium in Imperio: A Study of the Negro Race Problem. A Novel,Sutton E. Griggs,74401
338,9301,Ranald Bannerman's Boyhood,George MacDonald,99100
339,35927,A Romance of Toronto (Founded on Fact): A Novel,Annie G. Savigny,102551
340,39159,Sky Island,L. Frank Baum,80929
341,43021,"Baseball Joe on the Giants; or, Making Good as a Ball Twirler in the Metropolis",unknown,76207
342,35617,The Terror: A Mystery,Arthur Machen,52980
343,6626,Theresa Raquin,Émile Zola,98881
344,25920,The Mission of Janice Day,Helen Beecher Long,97511
345,15551,Stories from Le Morte D'Arthur and the Mabinogion,Beatrice E. Clay,74117
346,1144,In the Cage,Henry James,51369
347,1685,The Mystery of the Yellow Room,Gaston Leroux,107156
349,9502,The Room in the Dragon Volant,Joseph Sheridan Le Fanu,65277
350,14048,The nameless castle,Mór Jókai,124780
351,23183,Edmond Dantès,Edmund Flagg,124896
352,68341,The book of witches,Oliver Madox Hueffer,109832
353,66877,Mr. Wu,"Louise Jordan Miln, Harold Owen, and Harry M. Vernon",122959
354,36964,The Motion Picture Chums at Seaside Park,Victor Appleton,62706
355,40155,Akbar: An Eastern Romance,P. A. S. van Limburg Brouwer,121376
356,32,Herland,Charlotte Perkins Gilman,75232
357,2818,Beautiful Joe: An Autobiography,Marshall Saunders,119551
358,41177,John Ermine of the Yellowstone,Frederic Remington,94109
359,2524,My Lady Ludlow,Elizabeth Cleghorn Gaskell,107009
360,37303,"The Girls of Central High on the Stage; Or, The Play That Took The Prize",unknown,59215
361,29868,Love and Lucy,Maurice Hewlett,90518
362,8549,The Woman with the Fan,Robert Hichens,122838
363,52396,"The Mary Frances knitting and crocheting book :  or, Adventures among the…",unknown,76248
364,46592,Center Rush Rowland,Ralph Henry Barbour,90738
365,12441,The House of a Thousand Candles,Meredith Nicholson,115083
366,3244,To Him That Hath: A Tale of the West of Today,Ralph Connor,115109
367,61620,The mark of Zorro,Johnston McCulley,98206
368,23531,Marjorie's Busy Days,Carolyn Wells,80097
369,61681,Grampa in Oz,Ruth Plumly Thompson,61820
370,31635,The Silent Barrier,Louis Tracy,118068
371,1164,The iron heel,Jack London,122598
372,31381,The Squire's Daughter: Being the First Book in the Chronicles of the Clintons,unknown,115737
373,43381,The Story of Rolf and the Viking's Bow,Allen French,88161
